city,datetime,temperature,feels_like,humidity,weather,wind_speed,rain_3h
Rouen,2026-06-24 09:00:00,34.31,33.89,31,broken clouds,2.39,0.0
Rouen,2026-06-24 12:00:00,40.63,40.28,20,scattered clouds,0.62,0.0
Rouen,2026-06-24 15:00:00,40.48,40.06,20,clear sky,5.64,0.0
Rouen,2026-06-24 18:00:00,36.43,36.57,29,clear sky,4.82,0.0
Rouen,2026-06-24 21:00:00,27.79,28.3,51,broken clouds,1.65,0.0
Rouen,2026-06-25 00:00:00,26.27,26.27,59,scattered clouds,3.69,0.0
Rouen,2026-06-25 03:00:00,24.54,24.98,74,scattered clouds,2.98,0.0
Rouen,2026-06-25 06:00:00,28.26,29.6,58,scattered clouds,4.54,0.0
Rouen,2026-06-25 09:00:00,35.89,35.99,30,few clouds,5.42,0.0
Rouen,2026-06-25 12:00:00,39.77,39.35,21,few clouds,6.38,0.0
Rouen,2026-06-25 15:00:00,40.87,39.65,17,clear sky,6.28,0.0
Rouen,2026-06-25 18:00:00,39.3,37.63,17,clear sky,6.47,0.0
Rouen,2026-06-25 21:00:00,31.54,31.8,41,broken clouds,7.69,0.0
Rouen,2026-06-26 00:00:00,26.51,26.51,58,scattered clouds,1.6,0.0
Rouen,2026-06-26 03:00:00,22.11,22.15,68,clear sky,4.72,0.0
Rouen,2026-06-26 06:00:00,21.1,21.17,73,few clouds,3.82,0.0
Rouen,2026-06-26 09:00:00,27.87,27.76,43,clear sky,4.64,0.0
Rouen,2026-06-26 12:00:00,31.79,30.58,30,clear sky,5.18,0.0
Rouen,2026-06-26 15:00:00,33.33,31.99,27,clear sky,4.98,0.0
Rouen,2026-06-26 18:00:00,26.56,26.56,43,clear sky,6.56,0.0
Rouen,2026-06-26 21:00:00,19.26,18.89,63,few clouds,2.82,0.0
Rouen,2026-06-27 00:00:00,18.09,17.7,67,scattered clouds,2.49,0.0
Rouen,2026-06-27 03:00:00,18.56,18.27,69,scattered clouds,2.19,0.0
Rouen,2026-06-27 06:00:00,21.89,21.6,56,broken clouds,1.67,0.0
Rouen,2026-06-27 09:00:00,27.62,27.17,37,overcast clouds,3.3,0.0
Rouen,2026-06-27 12:00:00,30.66,29.66,33,overcast clouds,5.18,0.0
Paris,2026-06-22 15:00:00,37.62,39.12,31,few clouds,4.14,0.0
Paris,2026-06-22 18:00:00,33.39,33.35,35,light rain,1.61,0.27
Paris,2026-06-22 21:00:00,27.33,28.77,63,light rain,3.01,1.06
Paris,2026-06-23 00:00:00,25.81,26.09,63,overcast clouds,2.47,0.0
Paris,2026-06-23 03:00:00,23.66,23.88,69,scattered clouds,1.45,0.0
Paris,2026-06-23 06:00:00,26.91,27.9,59,few clouds,1.69,0.0
Paris,2026-06-23 09:00:00,31.0,30.38,36,scattered clouds,2.04,0.0
Paris,2026-06-23 12:00:00,37.55,36.29,21,scattered clouds,2.01,0.0
Paris,2026-06-23 15:00:00,39.06,37.57,18,scattered clouds,2.46,0.0
Paris,2026-06-23 18:00:00,37.35,36.03,21,broken clouds,3.83,0.0
Paris,2026-06-23 21:00:00,31.84,31.13,34,clear sky,3.14,0.0
Paris,2026-06-24 00:00:00,28.97,28.96,44,few clouds,1.7,0.0
Paris,2026-06-24 03:00:00,26.76,27.31,52,broken clouds,0.33,0.0
Paris,2026-06-24 06:00:00,28.58,28.82,47,broken clouds,2.37,0.0
Paris,2026-06-24 09:00:00,35.07,34.37,28,clear sky,1.81,0.0
Paris,2026-06-24 12:00:00,40.22,39.38,19,clear sky,1.46,0.0
Paris,2026-06-24 15:00:00,41.49,40.14,16,clear sky,1.61,0.0
Paris,2026-06-24 18:00:00,36.37,35.77,26,light rain,4.42,0.11
Paris,2026-06-24 21:00:00,34.15,33.49,30,overcast clouds,3.0,0.0
Paris,2026-06-25 00:00:00,30.1,30.88,48,broken clouds,2.87,0.0
Paris,2026-06-25 03:00:00,28.29,29.53,57,broken clouds,2.26,0.0
Paris,2026-06-25 06:00:00,28.8,28.87,45,broken clouds,2.63,0.0
Paris,2026-06-25 09:00:00,35.5,34.97,28,overcast clouds,3.32,0.0
Paris,2026-06-25 12:00:00,39.32,38.16,19,broken clouds,4.98,0.0
Paris,2026-06-25 15:00:00,40.14,38.7,17,broken clouds,4.1,0.0
Paris,2026-06-25 18:00:00,39.15,38.19,20,broken clouds,5.28,0.0
Paris,2026-06-25 21:00:00,33.14,33.58,38,scattered clouds,5.25,0.0
Paris,2026-06-26 00:00:00,30.26,30.25,42,few clouds,2.68,0.0
Paris,2026-06-26 03:00:00,28.31,28.09,42,clear sky,0.98,0.0
Paris,2026-06-26 06:00:00,26.69,27.19,51,clear sky,4.99,0.0
Paris,2026-06-26 09:00:00,27.22,27.5,48,overcast clouds,2.82,0.0
Paris,2026-06-26 12:00:00,34.91,33.63,25,broken clouds,2.61,0.0
Paris,2026-06-26 15:00:00,37.3,35.97,21,clear sky,2.23,0.0
Paris,2026-06-26 18:00:00,34.69,33.51,26,clear sky,5.37,0.0
Paris,2026-06-26 21:00:00,26.94,26.77,39,few clouds,4.35,0.0
Paris,2026-06-27 00:00:00,24.13,23.72,43,clear sky,3.4,0.0
Paris,2026-06-27 03:00:00,23.18,22.7,44,clear sky,2.08,0.0
Paris,2026-06-27 06:00:00,24.51,24.06,40,few clouds,1.83,0.0
Paris,2026-06-27 09:00:00,28.7,27.93,35,overcast clouds,2.25,0.0
Paris,2026-06-27 12:00:00,31.89,31.33,35,light rain,2.37,0.72
Amiens,2026-06-22 15:00:00,29.73,31.44,55,scattered clouds,4.33,0.0
Amiens,2026-06-22 18:00:00,28.74,30.46,59,scattered clouds,4.86,0.0
Amiens,2026-06-22 21:00:00,23.03,23.5,81,overcast clouds,2.67,0.0
Amiens,2026-06-23 00:00:00,20.58,20.94,86,broken clouds,3.8,0.0
Amiens,2026-06-23 03:00:00,19.02,19.3,89,scattered clouds,2.5,0.0
Amiens,2026-06-23 06:00:00,23.26,23.63,76,scattered clouds,2.68,0.0
Amiens,2026-06-23 09:00:00,29.22,30.49,54,few clouds,3.35,0.0
Amiens,2026-06-23 12:00:00,32.95,33.5,39,scattered clouds,3.33,0.0
Amiens,2026-06-23 15:00:00,34.05,34.33,35,scattered clouds,2.92,0.0
Amiens,2026-06-23 18:00:00,31.46,33.84,52,scattered clouds,4.22,0.0
Amiens,2026-06-23 21:00:00,25.68,26.08,68,clear sky,3.18,0.0
Amiens,2026-06-24 00:00:00,23.33,23.52,69,few clouds,2.34,0.0
Amiens,2026-06-24 03:00:00,21.88,22.03,73,light rain,0.62,0.3
Amiens,2026-06-24 06:00:00,25.98,25.98,74,broken clouds,2.26,0.0
Amiens,2026-06-24 09:00:00,32.78,33.24,39,clear sky,2.79,0.0
Amiens,2026-06-24 12:00:00,37.39,37.81,28,clear sky,0.8,0.0
Amiens,2026-06-24 15:00:00,38.02,38.22,26,clear sky,3.26,0.0
Amiens,2026-06-24 18:00:00,33.48,36.1,46,clear sky,5.15,0.0
Amiens,2026-06-24 21:00:00,26.36,26.36,69,clear sky,1.7,0.0
Amiens,2026-06-25 00:00:00,24.6,24.97,71,clear sky,2.65,0.0
Amiens,2026-06-25 03:00:00,23.45,23.84,76,clear sky,3.03,0.0
Amiens,2026-06-25 06:00:00,25.88,26.22,65,broken clouds,3.57,0.0
Amiens,2026-06-25 09:00:00,31.27,32.67,48,overcast clouds,4.64,0.0
Amiens,2026-06-25 12:00:00,36.26,37.68,34,overcast clouds,5.86,0.0
Amiens,2026-06-25 15:00:00,36.54,37.57,32,few clouds,7.04,0.0
Amiens,2026-06-25 18:00:00,33.3,34.73,42,scattered clouds,5.49,0.0
Amiens,2026-06-25 21:00:00,28.33,30.2,62,scattered clouds,6.05,0.0
Amiens,2026-06-26 00:00:00,26.92,27.59,54,scattered clouds,5.39,0.0
Amiens,2026-06-26 03:00:00,22.32,22.41,69,clear sky,2.37,0.0
Amiens,2026-06-26 06:00:00,21.69,21.77,71,clear sky,5.67,0.0
Amiens,2026-06-26 09:00:00,26.87,27.3,50,scattered clouds,6.01,0.0
Amiens,2026-06-26 12:00:00,29.42,29.04,40,few clouds,6.63,0.0
Amiens,2026-06-26 15:00:00,29.13,28.4,36,clear sky,5.91,0.0
Amiens,2026-06-26 18:00:00,24.98,24.76,47,clear sky,5.5,0.0
Amiens,2026-06-26 21:00:00,18.13,17.83,70,clear sky,2.78,0.0
Amiens,2026-06-27 00:00:00,17.49,17.07,68,clear sky,1.92,0.0
Amiens,2026-06-27 03:00:00,17.43,17.0,68,clear sky,2.82,0.0
Amiens,2026-06-27 06:00:00,19.73,19.72,75,light rain,2.47,0.56
Amiens,2026-06-27 09:00:00,27.18,27.16,43,overcast clouds,1.38,0.0
Amiens,2026-06-27 12:00:00,25.5,25.72,62,light rain,2.23,0.78
Lille,2026-06-22 15:00:00,31.27,34.66,57,broken clouds,4.01,0.0
Lille,2026-06-22 18:00:00,29.36,31.16,57,broken clouds,3.6,0.0
Lille,2026-06-22 21:00:00,23.35,23.59,71,scattered clouds,3.14,0.0
Lille,2026-06-23 00:00:00,20.0,20.04,76,scattered clouds,3.63,0.0
Lille,2026-06-23 03:00:00,18.8,18.93,84,broken clouds,2.62,0.0
Lille,2026-06-23 06:00:00,22.9,23.2,75,scattered clouds,2.88,0.0
Lille,2026-06-23 09:00:00,30.35,31.75,51,scattered clouds,3.22,0.0
Lille,2026-06-23 12:00:00,33.69,34.21,37,few clouds,3.16,0.0
Lille,2026-06-23 15:00:00,33.82,33.59,33,scattered clouds,2.33,0.0
Lille,2026-06-23 18:00:00,32.08,32.58,41,scattered clouds,2.61,0.0
Lille,2026-06-23 21:00:00,26.41,26.41,60,broken clouds,2.94,0.0
Lille,2026-06-24 00:00:00,23.67,23.92,70,broken clouds,2.21,0.0
Lille,2026-06-24 03:00:00,22.68,22.94,74,scattered clouds,1.93,0.0
Lille,2026-06-24 06:00:00,27.05,28.61,66,few clouds,2.99,0.0
Lille,2026-06-24 09:00:00,32.3,33.31,43,few clouds,2.08,0.0
Lille,2026-06-24 12:00:00,35.92,36.55,32,few clouds,1.61,0.0
Lille,2026-06-24 15:00:00,37.64,38.21,28,clear sky,0.73,0.0
Lille,2026-06-24 18:00:00,33.87,35.99,43,clear sky,3.75,0.0
Lille,2026-06-24 21:00:00,28.42,30.09,60,clear sky,4.12,0.0
Lille,2026-06-25 00:00:00,26.2,26.2,67,clear sky,3.15,0.0
Lille,2026-06-25 03:00:00,24.56,24.93,71,clear sky,3.13,0.0
Lille,2026-06-25 06:00:00,26.37,26.37,64,few clouds,4.16,0.0
Lille,2026-06-25 09:00:00,31.55,33.34,49,overcast clouds,5.22,0.0
Lille,2026-06-25 12:00:00,35.03,36.98,39,overcast clouds,5.38,0.0
Lille,2026-06-25 15:00:00,35.91,36.8,33,overcast clouds,5.53,0.0
Lille,2026-06-25 18:00:00,33.01,34.02,41,overcast clouds,4.94,0.0
Lille,2026-06-25 21:00:00,28.23,28.71,50,scattered clouds,4.96,0.0
Lille,2026-06-26 00:00:00,26.45,26.45,54,few clouds,4.31,0.0
Lille,2026-06-26 03:00:00,25.3,25.3,54,clear sky,3.54,0.0
Lille,2026-06-26 06:00:00,27.37,27.85,51,clear sky,3.05,0.0
Lille,2026-06-26 09:00:00,29.14,29.48,47,scattered clouds,3.68,0.0
Lille,2026-06-26 12:00:00,31.74,31.14,35,scattered clouds,5.23,0.0
Lille,2026-06-26 15:00:00,31.49,30.25,30,clear sky,5.6,0.0
Lille,2026-06-26 18:00:00,27.73,27.26,37,clear sky,5.13,0.0
Lille,2026-06-26 21:00:00,21.65,21.18,50,clear sky,2.92,0.0
Lille,2026-06-27 00:00:00,20.49,19.95,52,clear sky,1.39,0.0
